Version 2:CSV
Datum:,WGS-84
ZoneOffset:,0.000000
"Type","Name","Lat","Long","Month#","Day#","Year","Hour","Min","Sec","Comment","Symbol#","SymbolColor","SymbolDisplay","Altitude (Meters)","Depth (Meters)","Temp Deg C","Ref Dist","Ref units"
W,001,70.54788667,-149.21208833,7,21,2008,11,0,0,21-JUL-08 11:00,18,Default Color,S+N,1.327515,1e25,1e25,0.0,feet
W,002,70.53270833,-149.08479333,7,21,2008,11,32,0,21-JUL-08 11:32,18,Default Color,S+N,0.606567,1e25,1e25,3.112,S mi
W,003,70.48795000,-148.70027000,7,21,2008,13,6,0,21-JUL-08 13:06,18,Default Color,S+N,1.567871,1e25,1e25,12.500,S mi
"Type","Name|Color|Visibility","Lat","Long","Month#","Day#","Year","Hour","Min","Sec","Altitude (Meters)","Depth (Meters)","Temp Deg C","Units","DP","DS","DT","VP (Mi/hr)","TP"
T,,70.53870667,-149.13034333,7,21,2008,19,20,18,1.579346,1e25,1e25,"SM",0.0167,3.2378,3.2378,6.003491,10,
T,,70.53865500,-149.12965500,7,21,2008,19,20,28,1.579346,1e25,1e25,"SM",0.0162,3.2540,3.2540,5.847295,10,
T,,70.53859500,-149.12887333,7,21,2008,19,20,38,2.540649,1e25,1e25,"SM",0.0185,3.2725,3.2725,6.647502,10,
T,,70.53853833,-149.12821667,7,21,2008,19,20,48,3.021240,1e25,1e25,"SM",0.0156,3.2881,3.2881,5.621500,10,
T,,70.53847000,-149.12751000,7,21,2008,19,20,58,2.060059,1e25,1e25,"SM",0.0169,3.3050,3.3050,6.097972,10,
T,,70.53841833,-149.12682500,7,21,2008,19,21,8,2.540649,1e25,1e25,"SM",0.0162,3.3212,3.3212,5.820415,10,
T,,70.53835167,-149.12614167,7,21,2008,19,21,18,2.060059,1e25,1e25,"SM",0.0164,3.3376,3.3376,5.900761,10,
T,,70.53826000,-149.12548833,7,21,2008,19,21,28,1.579346,1e25,1e25,"SM",0.0163,3.3539,3.3539,5.874878,10,
T,,70.53818167,-149.12474667,7,21,2008,19,21,38,2.540649,1e25,1e25,"SM",0.0179,3.3718,3.3718,6.447879,10,
T,,70.53812333,-149.12402000,7,21,2008,19,21,48,2.060059,1e25,1e25,"SM",0.0172,3.3890,3.3890,6.194482,10,
T,,70.53804667,-149.12340000,7,21,2008,19,21,58,0.137451,1e25,1e25,"SM",0.0152,3.4043,3.4043,5.480648,10,
T,,70.53795000,-149.12280167,7,21,2008,19,22,8,-1.304688,1e25,1e25,"SM",0.0153,3.4196,3.4196,5.510856,10,
T,,70.53784833,-149.12212333,7,21,2008,19,22,18,-0.824097,1e25,1e25,"SM",0.0171,3.4367,3.4367,6.164256,10,
T,,70.53775000,-149.12150667,7,21,2008,19,22,28,-1.785278,1e25,1e25,"SM",0.0157,3.4524,3.4524,5.665775,10,
T,,70.53763167,-149.12094000,7,21,2008,19,22,38,-2.265991,1e25,1e25,"SM",0.0154,3.4678,3.4678,5.542430,10,
T,,70.53750000,-149.12042167,7,21,2008,19,22,48,-2.265991,1e25,1e25,"SM",0.0150,3.4828,3.4828,5.401777,10,
T,,70.53737333,-149.11982833,7,21,2008,19,22,58,-1.785278,1e25,1e25,"SM",0.0162,3.4990,3.4990,5.840113,10,
T,,70.53724833,-149.11920833,7,21,2008,19,23,8,-3.227295,1e25,1e25,"SM",0.0167,3.5157,3.5157,6.005838,10,
T,,70.53715167,-149.11854833,7,21,2008,19,23,18,-3.227295,1e25,1e25,"SM",0.0166,3.5323,3.5323,5.975064,10,
T,,70.53704667,-149.11791500,7,21,2008,19,23,28,-4.188599,1e25,1e25,"SM",0.0163,3.5486,3.5486,5.862805,10,
T,,70.53693000,-149.11729833,7,21,2008,19,23,38,-4.188599,1e25,1e25,"SM",0.0163,3.5649,3.5649,5.877227,10,
T,,70.53679333,-149.11668667,7,21,2008,19,23,48,-4.669312,1e25,1e25,"SM",0.0170,3.5819,3.5819,6.103686,10,
T,,70.53667333,-149.11608167,7,21,2008,19,23,58,-4.188599,1e25,1e25,"SM",0.0162,3.5981,3.5981,5.835367,10,
T,,70.53656833,-149.11549333,7,21,2008,19,24,8,-4.188599,1e25,1e25,"SM",0.0154,3.6135,3.6135,5.531501,10,
T,,70.53642167,-149.11493667,7,21,2008,19,24,18,-4.188599,1e25,1e25,"SM",0.0163,3.6298,3.6298,5.881741,10,
T,,70.53628500,-149.11443833,7,21,2008,19,24,28,-6.591919,1e25,1e25,"SM",0.0149,3.6447,3.6447,5.349275,10,
T,,70.53612500,-149.11388667,7,21,2008,19,24,38,-6.111206,1e25,1e25,"SM",0.0168,3.6615,3.6615,6.061731,10,
