Time,File,Total,bearded seal,Unknown,fin whale,killer whale,Walrus,Boating,minke,
03-Aug-07 13:09:40,shell-00EA0612.a26..1186146580.2007-08-03-13-09-40.wav_chan0.xml,0,0,0,0,0,0,0,0,
03-Aug-07 13:43:31,shell-00EA0613.a26..1186148611.2007-08-03-13-43-31.wav_chan0.xml,0,0,0,0,0,0,0,0,
03-Aug-07 14:17:23,shell-00EA0614.a26..1186150643.2007-08-03-14-17-23.wav_chan0.xml,0,0,0,0,0,0,0,0,
03-Aug-07 14:51:15,shell-00EA0615.a26..1186152675.2007-08-03-14-51-15.wav_chan0.xml,0,0,0,0,0,0,0,0,
03-Aug-07 15:25:06,shell-00EA0616.a26..1186154706.2007-08-03-15-25-06.wav_chan0.xml,0,0,0,0,0,0,0,0,
03-Aug-07 15:58:58,shell-00EA0617.a26..1186156738.2007-08-03-15-58-58.wav_chan0.xml,0,0,0,0,0,0,0,0,
03-Aug-07 16:32:51,shell-00EA0618.a26..1186158771.2007-08-03-16-32-51.wav_chan0.xml,0,0,0,0,0,0,0,0,
03-Aug-07 17:06:45,shell-00EA0619.a26..1186160805.2007-08-03-17-06-45.wav_chan0.xml,0,0,0,0,0,0,0,0,
03-Aug-07 17:40:39,shell-00EA0620.a26..1186162839.2007-08-03-17-40-39.wav_chan0.xml,0,0,0,0,0,0,0,0,
03-Aug-07 18:14:33,shell-00EA0621.a26..1186164873.2007-08-03-18-14-33.wav_chan0.xml,0,0,0,0,0,0,0,
03-Aug-07 18:48:27,shell-00EA0622.a26..1186166907.2007-08-03-18-48-27.wav_chan0.xml,0,0,0,0,0,0,0,0,
03-Aug-07 19:22:21,shell-00EA0623.a26..1186168941.2007-08-03-19-22-21.wav_chan0.xml,0,0,0,0,0,0,0,0,
03-Aug-07 19:56:12,shell-00EA0624.a26..1186170972.2007-08-03-19-56-12.wav_chan0.xml,0,0,0,0,0,0,0,0,
03-Aug-07 20:30:04,shell-00EA0625.a26..1186173004.2007-08-03-20-30-04.wav_chan0.xml,0,0,0,0,0,0,0,0,
03-Aug-07 21:03:56,shell-00EA0626.a26..1186175036.2007-08-03-21-03-56.wav_chan0.xml,0,0,0,0,0,0,0,0,
03-Aug-07 21:37:47,shell-00EA0627.a26..1186177067.2007-08-03-21-37-47.wav_chan0.xml,0,0,0,0,0,0,0,0,
03-Aug-07 22:11:39,shell-00EA0628.a26..1186179099.2007-08-03-22-11-39.wav_chan0.xml,0,0,0,0,0,0,0,0,
03-Aug-07 22:45:30,shell-00EA0629.a26..1186181130.2007-08-03-22-45-30.wav_chan0.xml,0,0,0,0,0,0,0,0,
03-Aug-07 23:19:22,shell-00EA0630.a26..1186183162.2007-08-03-23-19-22.wav_chan0.xml,0,0,0,0,0,0,0,0,
03-Aug-07 23:53:14,shell-00EA0631.a26..1186185194.2007-08-03-23-53-14.wav_chan0.xml,0,0,0,0,0,0,0,0,
04-Aug-07 00:27:05,shell-00EA0632.a26..1186187225.2007-08-04-00-27-05.wav_chan0.xml,0,0,0,0,0,0,0,0,
04-Aug-07 01:00:57,shell-00EA0633.a26..1186189257.2007-08-04-01-00-57.wav_chan0.xml,0,0,0,0,0,0,0,0,
04-Aug-07 01:34:50,shell-00EA0634.a26..1186191290.2007-08-04-01-34-50.wav_chan0.xml,0,0,0,0,0,0,0,0,
04-Aug-07 02:08:43,shell-00EA0635.a26..1186193323.2007-08-04-02-08-43.wav_chan0.xml,0,0,0,0,0,0,0,0,
04-Aug-07 02:42:37,shell-00EA0636.a26..1186195357.2007-08-04-02-42-37.wav_chan0.xml,0,0,0,0,0,0,0,0,
04-Aug-07 03:16:32,shell-00EA0637.a26..1186197392.2007-08-04-03-16-32.wav_chan0.xml,7,0,4,0,3,0,0,0,
04-Aug-07 03:50:26,shell-00EA0638.a26..1186199426.2007-08-04-03-50-26.wav_chan0.xml,4,0,4,0,0,0,0,0,
04-Aug-07 04:24:20,shell-00EA0639.a26..1186201460.2007-08-04-04-24-20.wav_chan0.xml,3,0,3,0,0,0,0,0,
04-Aug-07 04:58:14,shell-00EA0640.a26..1186203494.2007-08-04-04-58-14.wav_chan0.xml,3,0,3,0,0,0,0,0,
