Time,File,Total,Unknown,bowhead,bearded seal,beluga,Boating,minke,Walrus,
04-Oct-07 09:15:45,shell-00EA0924.a26..1191489345.2007-10-04-09-15-45.wav_chan0.xml,0,0,0,0,0,0,0,0,
04-Oct-07 09:49:39,shell-00EA0925.a26..1191491379.2007-10-04-09-49-39.wav_chan0.xml,0,0,0,0,0,0,0,0,
04-Oct-07 10:23:32,shell-00EA0926.a26..1191493412.2007-10-04-10-23-32.wav_chan0.xml,0,0,0,0,0,0,0,0,
04-Oct-07 10:57:24,shell-00EA0927.a26..1191495444.2007-10-04-10-57-24.wav_chan0.xml,0,0,0,0,0,0,0,0,
04-Oct-07 11:31:18,shell-00EA0928.a26..1191497478.2007-10-04-11-31-18.wav_chan0.xml,0,0,0,0,0,0,0,0,
04-Oct-07 12:05:09,shell-00EA0929.a26..1191499509.2007-10-04-12-05-09.wav_chan0.xml,0,0,0,0,0,0,0,0,
04-Oct-07 12:39:00,shell-00EA0930.a26..1191501540.2007-10-04-12-39-00.wav_chan0.xml,0,0,0,0,0,0,0,0,
04-Oct-07 13:12:52,shell-00EA0931.a26..1191503572.2007-10-04-13-12-52.wav_chan0.xml,0,0,0,0,0,0,0,0,
04-Oct-07 13:46:44,shell-00EA0932.a26..1191505604.2007-10-04-13-46-44.wav_chan0.xml,0,0,0,0,0,0,0,0,
04-Oct-07 14:20:35,shell-00EA0933.a26..1191507635.2007-10-04-14-20-35.wav_chan0.xml,0,0,0,0,0,0,0,0,
04-Oct-07 14:54:27,shell-00EA0934.a26..1191509667.2007-10-04-14-54-27.wav_chan0.xml,0,0,0,0,0,0,0,0,
04-Oct-07 15:28:18,shell-00EA0935.a26..1191511698.2007-10-04-15-28-18.wav_chan0.xml,0,0,0,0,0,0,0,0,
04-Oct-07 16:02:10,shell-00EA0936.a26..1191513730.2007-10-04-16-02-10.wav_chan0.xml,0,0,0,0,0,0,0,0,
04-Oct-07 16:36:02,shell-00EA0937.a26..1191515762.2007-10-04-16-36-02.wav_chan0.xml,0,0,0,0,0,0,0,0,
04-Oct-07 17:09:55,shell-00EA0938.a26..1191517795.2007-10-04-17-09-55.wav_chan0.xml,0,0,0,0,0,0,0,0,
04-Oct-07 17:43:48,shell-00EA0939.a26..1191519828.2007-10-04-17-43-48.wav_chan0.xml,0,0,0,0,0,0,
04-Oct-07 18:17:42,shell-00EA0940.a26..1191521862.2007-10-04-18-17-42.wav_chan0.xml,0,0,0,0,0,0,0,0,
04-Oct-07 18:51:36,shell-00EA0941.a26..1191523896.2007-10-04-18-51-36.wav_chan0.xml,0,0,0,0,0,0,0,0,
04-Oct-07 19:25:30,shell-00EA0942.a26..1191525930.2007-10-04-19-25-30.wav_chan0.xml,0,0,0,0,0,0,0,0,
04-Oct-07 19:59:24,shell-00EA0943.a26..1191527964.2007-10-04-19-59-24.wav_chan0.xml,1,0,1,0,0,0,0,0,
04-Oct-07 20:33:16,shell-00EA0944.a26..1191529996.2007-10-04-20-33-16.wav_chan0.xml,0,0,0,0,0,0,0,0,
04-Oct-07 21:07:07,shell-00EA0945.a26..1191532027.2007-10-04-21-07-07.wav_chan0.xml,1,0,0,1,0,0,0,0,
04-Oct-07 21:40:59,shell-00EA0946.a26..1191534059.2007-10-04-21-40-59.wav_chan0.xml,0,0,0,0,0,0,0,0,
04-Oct-07 22:14:50,shell-00EA0947.a26..1191536090.2007-10-04-22-14-50.wav_chan0.xml,0,0,0,0,0,0,0,0,
04-Oct-07 22:48:42,shell-00EA0948.a26..1191538122.2007-10-04-22-48-42.wav_chan0.xml,0,0,0,0,0,0,0,0,
04-Oct-07 23:22:33,shell-00EA0949.a26..1191540153.2007-10-04-23-22-33.wav_chan0.xml,0,0,0,0,0,0,0,0,
04-Oct-07 23:56:25,shell-00EA0950.a26..1191542185.2007-10-04-23-56-25.wav_chan0.xml,0,0,0,0,0,0,0,0,
05-Oct-07 00:30:16,shell-00EA0951.a26..1191544216.2007-10-05-00-30-16.wav_chan0.xml,0,0,0,0,0,0,0,0,
05-Oct-07 01:04:08,shell-00EA0952.a26..1191546248.2007-10-05-01-04-08.wav_chan0.xml,1,1,0,0,0,0,0,0,
05-Oct-07 01:38:00,shell-00EA0953.a26..1191548280.2007-10-05-01-38-00.wav_chan0.xml,0,0,0,0,0,0,0,0,
05-Oct-07 02:11:53,shell-00EA0954.a26..1191550313.2007-10-05-02-11-53.wav_chan0.xml,0,0,0,0,0,0,0,0,
05-Oct-07 02:45:46,shell-00EA0955.a26..1191552346.2007-10-05-02-45-46.wav_chan0.xml,1,0,0,1,0,0,0,0,
05-Oct-07 03:19:40,shell-00EA0956.a26..1191554380.2007-10-05-03-19-40.wav_chan0.xml,3,0,0,3,0,0,0,0,
05-Oct-07 03:53:34,shell-00EA0957.a26..1191556414.2007-10-05-03-53-34.wav_chan0.xml,3,0,1,2,0,0,0,0,
05-Oct-07 04:27:28,shell-00EA0958.a26..1191558448.2007-10-05-04-27-28.wav_chan0.xml,1,0,0,1,0,0,0,0,
05-Oct-07 05:01:22,shell-00EA0959.a26..1191560482.2007-10-05-05-01-22.wav_chan0.xml,0,0,0,0,0,0,0,0,
05-Oct-07 05:35:15,shell-00EA0960.a26..1191562515.2007-10-05-05-35-15.wav_chan0.xml,0,0,0,0,0,0,0,0,
05-Oct-07 06:09:07,shell-00EA0961.a26..1191564547.2007-10-05-06-09-07.wav_chan0.xml,1,0,0,1,0,0,0,0,
05-Oct-07 06:42:59,shell-00EA0962.a26..1191566579.2007-10-05-06-42-59.wav_chan0.xml,0,0,0,0,0,0,0,0,
05-Oct-07 07:16:50,shell-00EA0963.a26..1191568610.2007-10-05-07-16-50.wav_chan0.xml,0,0,0,0,0,0,0,0,
05-Oct-07 07:50:42,shell-00EA0964.a26..1191570642.2007-10-05-07-50-42.wav_chan0.xml,0,0,0,0,0,0,0,0,
05-Oct-07 08:24:33,shell-00EA0965.a26..1191572673.2007-10-05-08-24-33.wav_chan0.xml,0,0,0,0,0,0,0,
05-Oct-07 08:58:25,shell-00EA0966.a26..1191574705.2007-10-05-08-58-25.wav_chan0.xml,0,0,0,0,0,0,0,0,
05-Oct-07 09:32:16,shell-00EA0967.a26..1191576736.2007-10-05-09-32-16.wav_chan0.xml,0,0,0,0,0,0,0,0,
05-Oct-07 10:06:08,shell-00EA0968.a26..1191578768.2007-10-05-10-06-08.wav_chan0.xml,0,0,0,0,0,0,0,0,
05-Oct-07 10:40:00,shell-00EA0969.a26..1191580800.2007-10-05-10-40-00.wav_chan0.xml,0,0,0,0,0,0,0,0,
05-Oct-07 11:13:53,shell-00EA0970.a26..1191582833.2007-10-05-11-13-53.wav_chan0.xml,0,0,0,0,0,0,0,0,
05-Oct-07 11:47:47,shell-00EA0971.a26..1191584867.2007-10-05-11-47-47.wav_chan0.xml,0,0,0,0,0,0,0,0,
05-Oct-07 12:21:41,shell-00EA0972.a26..1191586901.2007-10-05-12-21-41.wav_chan0.xml,0,0,0,0,0,0,0,0,
05-Oct-07 12:55:35,shell-00EA0973.a26..1191588935.2007-10-05-12-55-35.wav_chan0.xml,0,0,0,0,0,0,0,0,
